,start time,path,location,size,end time,blur
113,463164,avatar-518d7cad40f028ba90f2772d11df1361_1.5860494142358794.jpg,"(1400, 1000)","(1024, 1024)",467314,1.5860494142358794
114,467314,avatar-7129a4fdaf48bacddc9321accaabb205_14.696539033119196.jpg,"(1400, 1000)","(1024, 1024)",472999,14.696539033119196
115,472999,avatar-3f1b7b069fa9e40a711235175e0c8306.jpg,"(1400, 1000)","(1024, 1024)",479748,0.0
116,479748,avatar-57eefd2a59ea152f9cbb0e60c31c172f.jpg,"(1400, 1000)","(1024, 1024)",481148,0.0
117,481148,avatar-097c0385b72cec9bd0b2a9babf9c9dfc.jpg,"(1400, 1000)","(1024, 1024)",481997,0.0
118,481997,avatar-7129a4fdaf48bacddc9321accaabb205.jpg,"(1400, 1000)","(1024, 1024)",483331,0.0
119,483331,avatar-07915b1d81bcf7e4e558bc88b73afee3.jpg,"(1400, 1000)","(1024, 1024)",484197,0.0
120,484197,avatar-f73f4873fc078ee40d32c61855f91e24.jpg,"(1400, 1000)","(1024, 1024)",486216,0.0
121,486216,avatar-19977e726ae9efcae441f9a96685b294_6.0226063073579255.jpg,"(1400, 1000)","(1024, 1024)",490364,6.0226063073579255
122,490364,avatar-373abe6c8faee993c31dc4ca8dc9dae8_17.025274741801127.jpg,"(1400, 1000)","(1024, 1024)",494515,17.025274741801127
123,494515,avatar-965a92f3fdfa64a8a3feb4ec150343a5_3.7673843396130113.jpg,"(1400, 1000)","(1024, 1024)",498665,3.7673843396130113
124,498665,avatar-656393f139ba2fa18d92f91e074932be_18.20279236615115.jpg,"(1400, 1000)","(1024, 1024)",502815,18.20279236615115
125,502815,avatar-bfa911ca3269eb3cb60530e7eda4e8e8_8.346436499352235.jpg,"(1400, 1000)","(1024, 1024)",506982,8.346436499352235
126,506982,avatar-c7697a7358859074da2830d9b792ad6f_0.4477443629591993.jpg,"(1400, 1000)","(1024, 1024)",512666,0.4477443629591993
127,512666,avatar-ff524a29748e358b2011ca619cfd1e59.jpg,"(1400, 1000)","(1024, 1024)",513882,0.0
128,513882,avatar-346ea2d3d8732d86108f523343b75dcc.jpg,"(1400, 1000)","(1024, 1024)",514848,0.0
129,514848,avatar-656393f139ba2fa18d92f91e074932be.jpg,"(1400, 1000)","(1024, 1024)",516164,0.0
130,516164,avatar-965a92f3fdfa64a8a3feb4ec150343a5.jpg,"(1400, 1000)","(1024, 1024)",517565,0.0
131,517565,avatar-8b26a43b6cbcfa8799cf6556cf2f1ccb.jpg,"(1400, 1000)","(1024, 1024)",519464,0.0
132,519464,avatar-19977e726ae9efcae441f9a96685b294.jpg,"(1400, 1000)","(1024, 1024)",521883,0.0
133,521883,avatar-756330fba151350ae700ea18418ba842_1.7278274601267607.jpg,"(1400, 1000)","(1024, 1024)",526032,1.7278274601267607
134,526032,avatar-8b0af3cd189b2a0070b65ee8f25fb66d_17.740591704606967.jpg,"(1400, 1000)","(1024, 1024)",530181,17.740591704606967
135,530181,avatar-0fc07daf1c6a11ff1fc3e4a9999d1f75_4.567673435821891.jpg,"(1400, 1000)","(1024, 1024)",534331,4.567673435821891
136,534331,avatar-e1ffbb2c45d80d9ecf59f70591945e01_15.933689323641202.jpg,"(1400, 1000)","(1024, 1024)",538482,15.933689323641202
137,538482,avatar-44b654a0bb60a096072788bca9eb62e7_9.566919053601088.jpg,"(1400, 1000)","(1024, 1024)",542632,9.566919053601088
138,542632,avatar-aab11b56b07749fbab1dcfa9f4072210_14.655549304024312.jpg,"(1400, 1000)","(1024, 1024)",548316,14.655549304024312
139,548316,avatar-5e083346ef90e922065bd10c8e675349.jpg,"(1400, 1000)","(1024, 1024)",550615,0.0
